,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
0,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Away,W,5,2,Hellas Verona,2.4,1.1,66.0,16967.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,25.0,8.0,15.2,0.0,0,0,2023,Napoli
1,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Home,W,4,0,Monza,2.0,0.1,54.0,36559.0,Giovanni Di Lorenzo,4-3-3,Francesco Fourneau,Match Report,,22.0,5.0,15.3,1.0,0,0,2023,Napoli
2,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Away,D,0,0,Fiorentina,1.7,0.5,52.0,32286.0,Giovanni Di Lorenzo,4-2-3-1,Livio Marinelli,Match Report,,13.0,2.0,14.7,1.0,0,0,2023,Napoli
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,D,1,1,Lecce,1.7,1.1,71.0,37573.0,Giovanni Di Lorenzo,4-2-3-1,Matteo Marcenaro,Match Report,,19.0,7.0,17.7,0.0,0,0,2023,Napoli
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Away,W,2,1,Lazio,2.1,0.3,61.0,39000.0,Giovanni Di Lorenzo,4-2-3-1,Simone Sozza,Match Report,,19.0,7.0,16.1,0.0,0,0,2023,Napoli
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Spezia,2.2,0.5,63.0,32839.0,Giovanni Di Lorenzo,4-3-3,Alberto Santoro,Match Report,,28.0,6.0,17.8,0.0,0,0,2023,Napoli
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Milan,1.4,2.6,49.0,72573.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,8.0,3.0,20.7,1.0,1,1,2023,Napoli
9,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Home,W,3,1,Torino,1.6,1.0,49.0,35953.0,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,15.0,7.0,18.3,0.0,0,0,2023,Napoli
11,2022-10-09,18:00,Serie A,Matchweek 9,Sun,Away,W,4,1,Cremonese,4.1,0.8,69.0,14238.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,20.0,9.0,17.8,1.0,1,1,2023,Napoli
13,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Home,W,3,2,Bologna,2.6,1.3,49.0,50000.0,Giovanni Di Lorenzo,4-3-3,Francesco Cosso,Match Report,,31.0,11.0,14.3,0.0,0,0,2023,Napoli
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Away,W,1,0,Roma,0.9,0.3,60.0,61633.0,Giovanni Di Lorenzo,4-3-3,Massimiliano Irrati,Match Report,,12.0,5.0,21.2,0.0,0,0,2023,Napoli
16,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Home,W,4,0,Sassuolo,2.1,1.0,67.0,45000.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,18.0,6.0,16.2,1.0,0,0,2023,Napoli
18,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Away,W,2,1,Atalanta,1.3,2.0,53.0,19363.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,7.0,5.0,14.3,0.0,0,0,2023,Napoli
19,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,W,2,0,Empoli,2.0,0.3,74.0,36000.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,17.0,3.0,17.8,1.0,1,1,2023,Napoli
20,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Home,W,3,2,Udinese,1.5,0.7,63.0,51000.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,15.0,5.0,16.1,0.0,0,0,2023,Napoli
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Away,L,0,1,Inter,0.9,1.4,64.0,75470.0,Giovanni Di Lorenzo,4-3-3,Simone Sozza,Match Report,,9.0,2.0,13.1,0.0,0,0,2023,Napoli
22,2023-01-08,18:00,Serie A,Matchweek 17,Sun,Away,W,2,0,Sampdoria,3.2,0.6,66.0,24490.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,22.0,6.0,18.4,0.0,1,2,2023,Napoli
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Home,W,5,1,Juventus,2.1,1.3,60.0,60000.0,Giovanni Di Lorenzo,4-3-3,Daniele Doveri,Match Report,,14.0,10.0,14.4,0.0,0,0,2023,Napoli
25,2023-01-21,18:00,Serie A,Matchweek 19,Sat,Away,W,2,0,Salernitana,1.4,0.4,74.0,18555.0,Giovanni Di Lorenzo,4-3-3,Daniele Chiffi,Match Report,,9.0,4.0,14.8,1.0,0,0,2023,Napoli
26,2023-01-29,20:45,Serie A,Matchweek 20,Sun,Home,W,2,1,Roma,1.0,0.8,56.0,48791.0,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Match Report,,11.0,6.0,18.1,1.0,0,0,2023,Napoli
27,2023-02-05,12:30,Serie A,Matchweek 21,Sun,Away,W,3,0,Spezia,1.9,0.4,69.0,8700.0,Giovanni Di Lorenzo,4-3-3,Marco Di Bello,Match Report,,11.0,4.0,18.2,1.0,1,1,2023,Napoli
28,2023-02-12,20:45,Serie A,Matchweek 22,Sun,Home,W,3,0,Cremonese,1.8,0.2,65.0,50250.0,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,15.0,9.0,14.4,0.0,0,0,2023,Napoli
29,2023-02-17,20:45,Serie A,Matchweek 23,Fri,Away,W,2,0,Sassuolo,1.6,0.8,60.0,15911.0,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,14.7,0.0,0,0,2023,Napoli
31,2023-02-25,18:00,Serie A,Matchweek 24,Sat,Away,W,2,0,Empoli,2.5,0.6,55.0,12624.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,19.0,6.0,19.2,1.0,0,0,2023,Napoli
32,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Home,L,0,1,Lazio,0.9,0.2,64.0,45786.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,14.0,2.0,22.1,1.0,0,0,2023,Napoli
33,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Home,W,2,0,Atalanta,1.3,0.3,60.0,50601.0,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,,18.0,6.0,16.8,1.0,0,0,2023,Napoli
35,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,W,4,0,Torino,2.3,1.3,52.0,26058.0,Giovanni Di Lorenzo,4-3-3,Matteo Marchetti,Match Report,,11.0,5.0,16.1,0.0,1,1,2023,Napoli
36,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Home,L,0,4,Milan,1.2,2.1,60.0,51466.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,20.0,4.0,18.9,0.0,0,0,2023,Napoli
37,2023-04-07,19:00,Serie A,Matchweek 29,Fri,Away,W,2,1,Lecce,1.1,1.1,68.0,25799.0,Giovanni Di Lorenzo,4-3-3,Gianluca Manganiello,Match Report,,9.0,3.0,15.4,0.0,0,0,2023,Napoli
39,2023-04-15,18:00,Serie A,Matchweek 30,Sat,Home,D,0,0,Hellas Verona,0.4,0.4,79.0,39216.0,Giovanni Di Lorenzo,4-3-3,Federico La Penna,Match Report,,10.0,1.0,19.0,0.0,0,0,2023,Napoli
41,2023-04-23,20:45,Serie A,Matchweek 31,Sun,Away,W,1,0,Juventus,1.2,0.4,65.0,39839.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,17.0,6.0,17.6,2.0,0,0,2023,Napoli
42,2023-04-30,15:00,Serie A,Matchweek 32,Sun,Home,D,1,1,Salernitana,1.6,0.3,73.0,54726.0,Giovanni Di Lorenzo,4-3-3,Matteo Marcenaro,Match Report,,24.0,8.0,15.8,0.0,0,0,2023,Napoli
43,2023-05-04,20:45,Serie A,Matchweek 33,Thu,Away,D,1,1,Udinese,0.5,0.3,64.0,24911.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,7.0,4.0,14.8,0.0,0,0,2023,Napoli
44,2023-05-07,18:00,Serie A,Matchweek 34,Sun,Home,W,1,0,Fiorentina,2.0,1.1,47.0,46522.0,Giovanni Di Lorenzo,4-3-3,Matteo Marchetti,Match Report,,8.0,1.0,20.2,0.0,1,2,2023,Napoli
45,2023-05-14,15:00,Serie A,Matchweek 35,Sun,Away,L,0,2,Monza,1.1,1.3,55.0,14455.0,Piotr Zieliński,4-2-3-1,Francesco Cosso,Match Report,,20.0,7.0,17.1,0.0,0,0,2023,Napoli
46,2023-05-21,18:00,Serie A,Matchweek 36,Sun,Home,W,3,1,Inter,1.7,0.6,70.0,50000.0,Giovanni Di Lorenzo,4-3-3,Livio Marinelli,Match Report,,22.0,9.0,19.0,3.0,0,0,2023,Napoli
47,2023-05-28,15:00,Serie A,Matchweek 37,Sun,Away,D,2,2,Bologna,1.4,1.9,48.0,27209.0,Piotr Zieliński,4-3-3,Matteo Marcenaro,Match Report,,11.0,8.0,17.0,0.0,0,0,2023,Napoli
48,2023-06-04,18:30,Serie A,Matchweek 38,Sun,Home,W,2,0,Sampdoria,2.0,0.6,73.0,55000.0,Giovanni Di Lorenzo,4-3-3,Ermanno Feliciani,Match Report,,20.0,8.0,20.3,1.0,1,1,2023,Napoli
0,2022-08-14,18:30,Serie A,Matchweek 1,Sun,Home,W,2,1,Bologna,0.7,1.5,42.0,45000.0,Ciro Immobile,4-3-3,Luca Massimi,Match Report,,9.0,6.0,19.7,0.0,0,0,2023,Lazio
1,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Away,D,0,0,Torino,0.8,0.7,46.0,16530.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,7.0,2.0,16.5,0.0,0,0,2023,Lazio
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Home,W,3,1,Inter,1.1,1.5,48.0,52500.0,Ciro Immobile,4-3-3,Michael Fabbri,Match Report,,11.0,7.0,14.5,0.0,0,0,2023,Lazio
3,2022-08-31,18:30,Serie A,Matchweek 4,Wed,Away,D,1,1,Sampdoria,1.5,0.8,56.0,18499.0,Ciro Immobile,4-3-3,Gianluca Aureliano,Match Report,,13.0,6.0,18.4,0.0,0,0,2023,Lazio
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Home,L,1,2,Napoli,0.3,2.1,39.0,39000.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,8.0,2.0,26.7,0.0,0,0,2023,Lazio
6,2022-09-11,18:00,Serie A,Matchweek 6,Sun,Home,W,2,0,Hellas Verona,1.1,0.3,59.0,38000.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,15.0,6.0,15.9,0.0,0,0,2023,Lazio
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,W,4,0,Cremonese,3.1,1.3,55.0,12991.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,13.0,5.0,13.4,0.0,1,1,2023,Lazio
9,2022-10-02,12:30,Serie A,Matchweek 8,Sun,Home,W,4,0,Spezia,2.3,1.1,61.0,41000.0,Ciro Immobile,4-3-3,Juan Sacchi,Match Report,,12.0,6.0,13.8,0.0,0,1,2023,Lazio
11,2022-10-10,20:45,Serie A,Matchweek 9,Mon,Away,W,4,0,Fiorentina,1.6,2.2,38.0,30574.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,,10.0,6.0,15.6,0.0,0,0,2023,Lazio
13,2022-10-16,15:00,Serie A,Matchweek 10,Sun,Home,D,0,0,Udinese,0.8,0.9,54.0,45000.0,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,8.0,3.0,16.2,1.0,0,0,2023,Lazio
14,2022-10-23,18:00,Serie A,Matchweek 11,Sun,Away,W,2,0,Atalanta,0.9,0.8,53.0,18988.0,Sergej Milinković-Savić,4-3-3,Rosario Abisso,Match Report,,12.0,5.0,23.0,0.0,0,0,2023,Lazio
16,2022-10-30,18:00,Serie A,Matchweek 12,Sun,Home,L,1,3,Salernitana,1.9,1.5,61.0,40000.0,Danilo Cataldi,4-4-2,Gianluca Manganiello,Match Report,,13.0,4.0,15.3,0.0,0,0,2023,Lazio
18,2022-11-06,18:00,Serie A,Matchweek 13,Sun,Away,W,1,0,Roma,0.6,0.5,41.0,62847.0,Danilo Cataldi,4-3-3,Daniele Orsato,Match Report,,5.0,3.0,23.0,0.0,0,0,2023,Lazio
19,2022-11-10,20:45,Serie A,Matchweek 14,Thu,Home,W,1,0,Monza,1.5,0.5,47.0,36000.0,Sergej Milinković-Savić,4-3-3,Alberto Santoro,Match Report,,12.0,4.0,16.5,1.0,0,0,2023,Lazio
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Away,L,0,3,Juventus,0.4,1.6,59.0,38729.0,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,10.0,3.0,21.9,0.0,0,0,2023,Lazio
21,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Away,L,1,2,Lecce,0.7,1.3,59.0,26084.0,Ciro Immobile,4-3-3,Livio Marinelli,Match Report,,8.0,2.0,15.1,0.0,0,0,2023,Lazio
22,2023-01-08,15:00,Serie A,Matchweek 17,Sun,Home,D,2,2,Empoli,0.9,0.6,54.0,31000.0,Ciro Immobile,4-3-3,Ivan Pezzuto,Match Report,,18.0,4.0,19.7,0.0,0,0,2023,Lazio
23,2023-01-15,12:30,Serie A,Matchweek 18,Sun,Away,W,2,0,Sassuolo,2.7,0.7,50.0,10000.0,Ciro Immobile,4-1-4-1,Luca Pairetto,Match Report,,11.0,2.0,16.9,1.0,1,1,2023,Lazio
25,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Home,W,4,0,Milan,3.1,0.7,50.0,47000.0,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Match Report,,9.0,4.0,16.9,1.0,1,1,2023,Lazio
26,2023-01-29,18:00,Serie A,Matchweek 20,Sun,Home,D,1,1,Fiorentina,0.9,1.3,45.0,43000.0,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Match Report,,13.0,1.0,16.6,1.0,0,0,2023,Lazio
28,2023-02-06,18:30,Serie A,Matchweek 21,Mon,Away,D,1,1,Hellas Verona,0.9,1.2,64.0,20329.0,Ciro Immobile,4-3-3,Giovanni Ayroldi,Match Report,,9.0,2.0,18.6,1.0,0,0,2023,Lazio
29,2023-02-11,20:45,Serie A,Matchweek 22,Sat,Home,L,0,2,Atalanta,0.9,2.8,60.0,41000.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,13.0,5.0,23.5,1.0,0,0,2023,Lazio
31,2023-02-19,15:00,Serie A,Matchweek 23,Sun,Away,W,2,0,Salernitana,3.0,0.4,65.0,14860.0,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,,19.0,5.0,20.1,0.0,1,2,2023,Lazio
33,2023-02-27,20:45,Serie A,Matchweek 24,Mon,Home,W,1,0,Sampdoria,1.6,0.5,57.0,35000.0,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,15.2,1.0,0,0,2023,Lazio
34,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Away,W,1,0,Napoli,0.2,0.9,36.0,45786.0,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,5.0,1.0,20.9,1.0,0,0,2023,Lazio
36,2023-03-11,20:45,Serie A,Matchweek 26,Sat,Away,D,0,0,Bologna,0.8,0.9,46.0,27369.0,Sergej Milinković-Savić,4-3-3,Fabio Maresca,Match Report,,5.0,2.0,16.9,0.0,0,0,2023,Lazio
38,2023-03-19,18:00,Serie A,Matchweek 27,Sun,Home,W,1,0,Roma,0.6,0.6,69.0,62000.0,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,12.0,5.0,22.9,0.0,0,0,2023,Lazio
39,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Away,W,2,0,Monza,0.5,1.3,44.0,14539.0,Sergej Milinković-Savić,4-3-3,Matteo Marcenaro,Match Report,,8.0,4.0,19.9,1.0,0,0,2023,Lazio
40,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Home,W,2,1,Juventus,1.2,1.9,50.0,54000.0,Ciro Immobile,4-3-3,Marco Di Bello,Match Report,,9.0,4.0,17.4,1.0,0,0,2023,Lazio
41,2023-04-14,20:45,Serie A,Matchweek 30,Fri,Away,W,3,0,Spezia,2.8,0.7,47.0,9500.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,12.0,6.0,16.0,1.0,1,1,2023,Lazio
42,2023-04-22,18:00,Serie A,Matchweek 31,Sat,Home,L,0,1,Torino,0.6,0.6,53.0,50000.0,Sergej Milinković-Savić,4-3-3,Davide Ghersini,Match Report,,10.0,5.0,18.5,1.0,0,0,2023,Lazio
43,2023-04-30,12:30,Serie A,Matchweek 32,Sun,Away,L,1,3,Inter,0.8,3.1,38.0,75500.0,Ciro Immobile,4-3-3,Marco Guida,Match Report,,9.0,5.0,16.9,0.0,0,0,2023,Lazio
44,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Home,W,2,0,Sassuolo,1.9,0.9,48.0,35000.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,13.0,5.0,18.1,0.0,0,0,2023,Lazio
45,2023-05-06,15:00,Serie A,Matchweek 34,Sat,Away,L,0,2,Milan,1.2,0.8,48.0,72365.0,Ciro Immobile,4-3-3,Antonio Rapuano,Match Report,,8.0,0.0,14.5,1.0,0,0,2023,Lazio
46,2023-05-12,20:45,Serie A,Matchweek 35,Fri,Home,D,2,2,Lecce,1.7,1.4,67.0,40000.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,,20.0,6.0,17.4,0.0,0,0,2023,Lazio
47,2023-05-21,20:45,Serie A,Matchweek 36,Sun,Away,W,1,0,Udinese,2.0,0.5,60.0,21834.0,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,13.0,3.0,18.3,0.0,1,1,2023,Lazio
48,2023-05-28,18:00,Serie A,Matchweek 37,Sun,Home,W,3,2,Cremonese,1.9,0.6,58.0,64171.0,Ciro Immobile,4-3-3,Antonio Giua,Match Report,,12.0,7.0,16.7,0.0,0,0,2023,Lazio
49,2023-06-03,21:00,Serie A,Matchweek 38,Sat,Away,W,2,0,Empoli,1.6,0.2,53.0,11545.0,Ciro Immobile,4-3-3,Luca Massimi,Match Report,,21.0,11.0,15.8,0.0,0,0,2023,Lazio
0,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,W,2,1,Lecce,2.1,0.7,70.0,25353.0,Samir Handanović,3-5-2,Alessandro Prontera,Match Report,,19.0,9.0,17.6,0.0,0,0,2023,Internazionale
1,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,W,3,0,Spezia,2.1,0.5,54.0,71212.0,Samir Handanović,3-5-2,Davide Ghersini,Match Report,,19.0,8.0,14.6,0.0,0,0,2023,Internazionale
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Away,L,1,3,Lazio,1.5,1.1,52.0,52500.0,Samir Handanović,3-5-2,Michael Fabbri,Match Report,,19.0,7.0,16.3,0.0,0,0,2023,Internazionale
3,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3,1,Cremonese,2.2,1.2,53.0,70750.0,Samir Handanović,3-5-2,Francesco Fourneau,Match Report,,18.0,7.0,15.4,1.0,0,0,2023,Internazionale
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Away,L,2,3,Milan,1.8,1.3,53.0,75475.0,Samir Handanović,3-5-2,Daniele Chiffi,Match Report,,16.0,5.0,20.3,1.0,0,0,2023,Internazionale
6,2022-09-10,18:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Torino,1.5,0.7,57.0,69134.0,Samir Handanović,3-5-2,Giovanni Ayroldi,Match Report,,16.0,3.0,19.5,1.0,0,0,2023,Internazionale
8,2022-09-18,12:30,Serie A,Matchweek 7,Sun,Away,L,1,3,Udinese,1.1,1.6,56.0,22475.0,Samir Handanović,3-5-2,Paolo Valeri,Match Report,,16.0,4.0,18.8,2.0,0,0,2023,Internazionale
9,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Home,L,1,2,Roma,1.0,1.0,58.0,75389.0,Samir Handanović,3-5-2,Davide Massa,Match Report,,15.0,2.0,21.5,2.0,0,0,2023,Internazionale
11,2022-10-08,15:00,Serie A,Matchweek 9,Sat,Away,W,2,1,Sassuolo,2.3,1.2,48.0,17574.0,Danilo D'Ambrosio,3-5-2,Simone Sozza,Match Report,,16.0,4.0,15.9,1.0,0,0,2023,Internazionale
13,2022-10-16,12:30,Serie A,Matchweek 10,Sun,Home,W,2,0,Salernitana,1.7,0.4,61.0,75452.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,16.0,6.0,14.4,1.0,0,0,2023,Internazionale
14,2022-10-22,20:45,Serie A,Matchweek 11,Sat,Away,W,4,3,Fiorentina,2.4,1.3,42.0,36699.0,Milan Škriniar,3-5-2,Paolo Valeri,Match Report,,7.0,6.0,14.3,0.0,1,1,2023,Internazionale
16,2022-10-29,20:45,Serie A,Matchweek 12,Sat,Home,W,3,0,Sampdoria,2.0,0.5,51.0,73311.0,Milan Škriniar,3-5-2,Luca Massimi,Match Report,,17.0,8.0,14.4,1.0,0,0,2023,Internazionale
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Away,L,0,2,Juventus,1.2,0.9,53.0,40093.0,Milan Škriniar,3-5-2,Daniele Doveri,Match Report,,14.0,4.0,18.0,0.0,0,0,2023,Internazionale
19,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,W,6,1,Bologna,2.6,0.7,57.0,69312.0,Milan Škriniar,3-5-2,Andrea Colombo,Match Report,,12.0,6.0,14.6,1.0,1,1,2023,Internazionale
20,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Away,W,3,2,Atalanta,2.2,1.8,53.0,19353.0,Milan Škriniar,3-5-2,Daniele Chiffi,Match Report,,14.0,3.0,15.8,1.0,0,0,2023,Internazionale
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,W,1,0,Napoli,1.4,0.9,36.0,75470.0,Milan Škriniar,3-5-2,Simone Sozza,Match Report,,6.0,1.0,11.8,0.0,0,0,2023,Internazionale
22,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Away,D,2,2,Monza,1.7,1.5,46.0,13622.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,11.0,3.0,13.9,0.0,0,0,2023,Internazionale
24,2023-01-14,20:45,Serie A,Matchweek 18,Sat,Home,W,1,0,Hellas Verona,0.7,0.3,57.0,70734.0,Milan Škriniar,3-5-2,Michael Fabbri,Match Report,,11.0,3.0,19.0,0.0,0,0,2023,Internazionale
26,2023-01-23,20:45,Serie A,Matchweek 19,Mon,Home,L,0,1,Empoli,1.4,0.8,49.0,65476.0,Milan Škriniar,3-5-2,Antonio Rapuano,Match Report,,16.0,1.0,15.0,1.0,0,0,2023,Internazionale
27,2023-01-28,18:00,Serie A,Matchweek 20,Sat,Away,W,2,1,Cremonese,2.3,1.0,65.0,14554.0,Lautaro Martínez,3-5-2,Maurizio Mariani,Match Report,,30.0,10.0,15.4,0.0,0,0,2023,Internazionale
29,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Home,W,1,0,Milan,0.9,0.3,64.0,75584.0,Lautaro Martínez,3-5-2,Davide Massa,Match Report,,15.0,4.0,18.5,0.0,0,0,2023,Internazionale
30,2023-02-13,20:45,Serie A,Matchweek 22,Mon,Away,D,0,0,Sampdoria,1.8,0.5,65.0,21575.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,25.0,5.0,18.0,1.0,0,0,2023,Internazionale
31,2023-02-18,20:45,Serie A,Matchweek 23,Sat,Home,W,3,1,Udinese,2.7,0.8,59.0,71248.0,Samir Handanović,3-5-2,Federico Dionisi,Match Report,,18.0,6.0,18.1,0.0,1,1,2023,Internazionale
33,2023-02-26,12:30,Serie A,Matchweek 24,Sun,Away,L,0,1,Bologna,1.0,1.2,52.0,28317.0,Marcelo Brozović,3-1-4-2,Daniele Orsato,Match Report,,13.0,4.0,18.8,0.0,0,0,2023,Internazionale
34,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,W,2,0,Lecce,0.8,0.6,62.0,75033.0,Lautaro Martínez,3-5-2,Gianluca Manganiello,Match Report,,14.0,4.0,17.9,1.0,0,0,2023,Internazionale
35,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,L,1,2,Spezia,3.8,1.0,69.0,11767.0,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,26.0,5.0,16.9,0.0,1,2,2023,Internazionale
37,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Home,L,0,1,Juventus,1.2,0.6,69.0,75224.0,Marcelo Brozović,3-5-2,Daniele Chiffi,Match Report,,18.0,3.0,19.9,2.0,0,0,2023,Internazionale
38,2023-04-01,18:00,Serie A,Matchweek 28,Sat,Home,L,0,1,Fiorentina,2.8,1.1,59.0,73576.0,Marcelo Brozović,3-5-2,Fabio Maresca,Match Report,,16.0,3.0,12.7,1.0,0,0,2023,Internazionale
40,2023-04-07,17:00,Serie A,Matchweek 29,Fri,Away,D,1,1,Salernitana,2.8,1.1,56.0,23702.0,Stefan de Vrij,3-5-2,Michael Fabbri,Match Report,,25.0,11.0,13.7,0.0,0,0,2023,Internazionale
42,2023-04-15,20:45,Serie A,Matchweek 30,Sat,Home,L,0,1,Monza,2.1,0.7,56.0,74135.0,Stefan de Vrij,3-5-2,Luca Pairetto,Match Report,,25.0,6.0,18.4,1.0,0,0,2023,Internazionale
44,2023-04-23,12:30,Serie A,Matchweek 31,Sun,Away,W,3,0,Empoli,1.1,0.9,60.0,15337.0,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,16.0,4.0,18.9,0.0,0,0,2023,Internazionale
46,2023-04-30,12:30,Serie A,Matchweek 32,Sun,Home,W,3,1,Lazio,3.1,0.8,62.0,75500.0,Danilo D'Ambrosio,3-5-2,Marco Guida,Match Report,,25.0,9.0,15.9,0.0,0,0,2023,Internazionale
47,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Away,W,6,0,Hellas Verona,2.4,0.5,74.0,19409.0,Samir Handanović,3-5-2,Daniele Orsato,Match Report,,20.0,10.0,14.5,0.0,0,0,2023,Internazionale
48,2023-05-06,18:00,Serie A,Matchweek 34,Sat,Away,W,2,0,Roma,0.7,0.9,49.0,61870.0,Marcelo Brozović,3-5-2,Fabio Maresca,Match Report,,10.0,4.0,21.0,0.0,0,0,2023,Internazionale
50,2023-05-13,20:45,Serie A,Matchweek 35,Sat,Home,W,4,2,Sassuolo,1.4,2.3,51.0,71246.0,Samir Handanović,3-5-2,Matteo Marcenaro,Match Report,,11.0,3.0,16.7,0.0,0,0,2023,Internazionale
52,2023-05-21,18:00,Serie A,Matchweek 36,Sun,Away,L,1,3,Napoli,0.6,1.7,30.0,50000.0,Danilo D'Ambrosio,3-5-2,Livio Marinelli,Match Report,,6.0,1.0,21.0,0.0,0,0,2023,Internazionale
54,2023-05-27,20:45,Serie A,Matchweek 37,Sat,Home,W,3,2,Atalanta,2.8,1.0,51.0,72192.0,Danilo D'Ambrosio,3-5-2,Daniele Orsato,Match Report,,20.0,11.0,18.9,2.0,0,0,2023,Internazionale
